ABRD,Abrau-Durso ao
AFKS,AFK Sistema
AFLT,Aeroflot
AGRO,GDR ROS AGRO PLC ORD SHS
AKRN,Acron
ALBK,Best Efforts Bank ao
ALNU,ALROSA-Nurba ao
ALRS,ALROSA ao
AMEZ,Ashinckiy metzavod PAO
APTK,Apteki 36,6
AQUA,Russkaya Akvakul'tura
ARSA,UK Arsagera
ASSB,Astrakhan Energo Sbyt
AVAN,AKB AVANGARD
BANE,Bashneft ANK ao
BANEP,Bashneft ANK ap
BELU,Beluga Group ao
BISVP,BashInformSvyaz ap
BLNG,Belon ao
BRZL,Buryatzoloto ao
BSPB,BSP
BSPBP,BSP ap
CBOM,MKB ao
CHEP,CHTPZ
CHGZ,RN-Western Siberia ao
CHKZ,CKPZ
CHMF,Severstal - ao
CHMK,CMK
CNTL,Centrlnyi Telegraf
CNTLP,Centrlnyi Telegraf ap
DERZP,DERZHAVA pref
DIOD,Zavod DIOD ao
DSKY,Detsky mir
DVEC,DEC
DZRD,DZRD ao
DZRDP,DZRD pref.
EELT,European Eltech
ELTZ,Elektrotsink ao
EM44,GDR UNITED MEDICAL GROUP EM44
ENPG,EN+ GROUP IPJSC ORD SHS
ENRU,Enel Russia
ETLN,GDR ETALON GROUP PLC ORD SHS
FEES,FSK EES
FESH,DVMP ao
FIVE,GDR X5 RetailGroup N.V.ORD SHS
FIXP,GDR FixPrice Group Ltd ORD SHS
FLOT,Sovcomflot
GAZA,Gaz ao
GAZAP,Gaz (pref)
GAZC,Gazkon ao
GAZP,Gazprom
GAZS,Gaz-servis ao
GCHE,Cherkizovo Group ao
GEMA,IMCB PJSC
GEMC,GDR UNITED MEDICAL GROUP GEMC
GLTR,GDR Globaltrans Inves ORD SHS
GMKN,NorNickel GMK
GTRK,GTM
GTSS,GEOTECH Seismic Services ao
HHRU,ADR HeadHunter Group ORD SHS
HIMC,Himprom ao
HIMCP,Himprom ap
HMSG,GDR Hydraulic M&S Gr ORD SHS
HYDR,RusGidro
IGST,Izhstal 2ao
IGSTP,Izhstal ap
INGR,INGRAD
IRAO,Inter RAO ao
IRGZ,IrkutskEnrg
IRKT,IRKUT-3
ISKJ,HSCI ao
JNOS,Slavneft-JANOS
JNOSP,Slavneft-JANOS (pref)
KAZT,Kuib.Azot ao
KAZTP,Kuibishevazot ap
KBSB,TNS energo Kuban Company
KCHE,Kamchatskenergo
KCHEP,Kamchatskenergo (pref)
KGKC,Kurganskaja Gener.Kompanija
KGKCP,Kurganskaja Gener.Kompanija ap
KLSB,Kalugsk. Sbyt. Company ao
KMAZ,KAMAZ
KMEZ,Kovrov Mech. Zavod
KMTZ,KGIW ao
KOGK,Korshunovskii GOK
KRKN,Saratovskiy NPZ ao
KRKNP,Saratovskiy NPZ ap
KRKO,TKZ Krasny Kotelshchik ao
KRKOP,TKZ Krasny Kotelshchik ap
KROT,KrasnyiOctyabr
KROTP,KrasnyiOctabr-1(pr)
KRSB,Krashojarskenergosbyt
KRSBP,Krashojarskenergosbyt pref.
KSGR,Koks ao
KTSB,KSB
KTSBP,KSB ap
KUBE,Rosseti Kuban
KUNF,KUZOCM ao
KUZB,Bank Kuzneckiy
KZMS,KZMS 01
KZOS,PAO Organicheskiy Sintez ao
KZOSP,PAO Organicheskiy Sintez ap
LIFE,Farmsintez ao
LKOH,LUKOIL
LNTA,IPJSC Lenta dr
LNZL,Lenzoloto
LNZLP,Lenzoloto pref.
LPSB,LESK ao
LSNG,Rosseti LenEnrg
LSNGP,Rosseti LenEnrg (pref)
LSRG,LSR
LVHK,Levenguk ao
MAGE,Magadanenergo ao
MAGEP,Magadanenergo ap
MAGN,MMK
MAIL,GDR Mail.ru Gr Limited ORD SHS
MDMG,GDR MD Medical Group Inv. PLC
MFGS,Megion
MFGSP,Megion (pref)
MFON,MegaFon ao
MGNT,Magnit
MGNZ,SMZ
MGTS,MGTS-5
MGTSP,MGTS-4
MISB,TNS energo Mariy El ao
MISBP,TNS energo Mariy El (pref)
MOEX,MoscowExchange
MORI,Morion ao
MRKC,MRSK Centra
MRKK,Rosseti Severnyy Kavkaz ao
MRKP,MRSK CiP
MRKS,Rosseti Sibir
MRKU,MRSK Urala ao
MRKV,Rosseti Volga
MRKY,Rosseti South ao
MRKZ,MRSK Severo-Zapada
MRSB,Mordovskaya EnergoSbyt Comp.
MSNG,MosEnrg
MSRS,Rosseti Moscow Region
MSTT,Mostotrest
MTLR,Mechel
MTLRP,Mechel pref.
MTSS,MTS
MVID,M.video
NAUK,NPO Nauka ao
NFAZ,Neftekamskiy avtozavod PAO ao
NKHP,NKHP ao
NKNC,Niznekamskneftekhim ao
NKNCP,Niznekamskneftekhim (pref)
NKSH,Nizhnekamskshina ao
NLMK,NLMK ao
NMTP,NMTP
NNSB,TNS energo Nizhniy-Novgorod ao
NNSBP,TNS energo Nizhniy Novg. pref
NSVZ,Nauka-Svyaz ao
NVTK,NOVATEK
OGKB,OGK-2
OKEY,GDR OKEY Group ORD SHS
OMZZP,OMZ (pref)
ORUP,ORG
OZON,ADS Ozon Holdings PLC ORD SHS
PAZA,Pavlovo Bus ao
PHOR,PhosAgro ao
PIKK,PIK SZ
PLZL,Polus
PMSB,Perm' EnergoSbyt
PMSBP,Perm' EnergoSbyt (pref)
POGR,Petropavlovsk PLC
POLY,Polymetal International plc
PRMB,AKB Primorye
QIWI,QIWI PLC
RASP,Raspadskaya
RAVN,Raven Property Group Limited
RBCM,RBK ao
RDRB,RosDor Bank ao
RGSS,Rosgosstrakh ao
RKKE,RKK Energia
RNFT,RussNeft NK
ROLO,Rusolovo PAO ao
ROSB,ROSBANK
ROSN,Rosneft
ROST,ROSINTER RESTAURANTS ao
RSTI,Rosseti ao
RSTIP,Rosseti ap
RTGZ,Gazprom gazorasp. Rostov ao
RTKM,Rostelecom
RTKMP,Rostelecom- (pref)
RTSB,TNS energo Rostov-na-Dony ao
RTSBP,TNS energo Rostov-na-Dony(prf)
RUAL,RUSAL ao
RUGR,Rusgrain Holding ao
RUSI,RUSS-INVEST IC ao
RUSP,Ruspolimet ao
RZSB,JSC Ryazanenergosbyt
SAGO,SamaraEnergo ao
SAGOP,SamaraEnergo(pref)
SARE,SaratovEnergo ao
SAREP,SaratovEnergo (pref)
SBER,Sberbank
SBERP,Sberbank (pref)
SELG,Seligdar
SELGP,Seligdar ap
SFIN,SAFMAR Fin.Invest. ao
SGZH,Segezha
SIBN,Gazprom neft
SLEN,Sakhalinenergo ao
SMLT,Samolet
SNGS,Surgut
SNGSP,Surgut-pref
STSB,StavropolEnergoSbyt
STSBP,StavropolEnergoSbyt (pref)
SVAV,Sollers Avto
TASB,Tambov EnergoSbyt Company
TASBP,Tambov EnergoSbyt Comp. (pref)
TATN,Tatneft-3
TATNP,Tatneft (pref)
TCSG,GDR TCS Group Holding ORD SHS
TGKA,TGK-1
TGKB,TGK-2
TGKBP,TGK-2 pref
TGKD,Kvadra
TGKDP,Kvadra (pref)
TGKN,TGK-14
TNSE,PAO GKTNS energo ao
TORS,Tomsk raspredelit. komp ao
TORSP,Tomsk raspredelit. komp ap
TRFM,TransFin-M
TRMK,TMK ao
TRNFP,Transneft (pref)
TTLK,Tattelekom
TUZA,Tuimaz. Zavod Avtobetonovozov
UCSS,PAO OKS ao
UKUZ,Uzhnyi Kuzbass
UNAC,Ob.aviastroitelnaya korp.
UNKL,Uzhno-Uralskiy nikel. komb. ao
UPRO,Unipro PAO ao
URKA,Uralkaliy
URKZ,Uralskaya kuznica ao
USBN,BANK URALSIB ao
UTAR,UTAir Aviacompany
UWGN,OVK ao
VGSB,Volgograd Energo Sbyt
VGSBP,Volgograd Energo Sbyt (pref)
VJGZ,Var'eganneftegaz ao
VJGZP,Var'eganneftegaz ap
VLHZ,VHZ
VRSB,TNS energo Voroneg ao
VRSBP,TNS energo Voroneg ap
VSMO,Corp. VSMPO-AVISMA ao
VSYD,Viborgskii sudostr. Zavod ao
VSYDP,Viborgskii sudostr. Zavod ap
VTBR,VTB
WTCM,CMT
WTCMP,CMT (pref)
YAKG,YaTEK ao
YKEN,YakutskEnergo
YKENP,YakutskEnergo ap
YNDX,PLLC Yandex N.V.
YRSB,TNS energo Yaroslavl' ao
YRSBP,TNS energo Yaroslavl' (pref)
ZILL,ZIL ao
ZVEZ,Zvezda ao